"Gene","lfc","padj","Stage","Significant","Regulation"
"IL10RA",-0.359300563905229,0.394815128220069,"Early",FALSE,"None"
"ITGB2",-0.455461886965581,0.400068570260032,"Early",FALSE,"None"
"SMAD2",-0.400707357311667,0.403210947407328,"Early",FALSE,"None"
"ATM",-0.418822215514065,0.407900746042739,"Early",FALSE,"None"
"LTB",-0.395903152868099,0.393686860963456,"Early",FALSE,"None"
"IL2RB",-0.425922684652412,0.400068570260032,"Early",FALSE,"None"
"CD59",0.335099252814162,0.368745096152802,"Early",FALSE,"None"
"ICAM4",0.461610843116414,0.34800488959918,"Early",FALSE,"None"
"IKZF2",-0.374694314381815,0.361002418022415,"Early",FALSE,"None"
"IRAK4",-0.366231100002947,0.412432515544398,"Early",FALSE,"None"
"ANP32B",0.356699108040393,0.438930859432463,"Early",FALSE,"None"
"TRAF3",0.308090650297958,0.299925628635882,"Early",FALSE,"None"
"NFKB2",-0.340218530188626,0.372953786742633,"Early",FALSE,"None"
"ILF3",-0.380125402465458,0.412432515544398,"Early",FALSE,"None"
"TNFSF14",-0.265911202595928,0.336778433674767,"Early",FALSE,"None"
"CD7",0.374528301008104,0.456116454604177,"Early",FALSE,"None"
"CD96",-0.393784178471707,0.440526428984756,"Early",FALSE,"None"
"FCGR2B",0.275441002252911,0.29887070327786,"Early",FALSE,"None"
"IL12RB2",-0.380949902207823,0.412394935657468,"Early",FALSE,"None"
"MYC",-0.364345390929902,0.430541962034734,"Early",FALSE,"None"
"CD69",0.30694300864189,0.299925628635882,"Early",FALSE,"None"
"MIF",-0.356467978920698,0.420675167018095,"Early",FALSE,"None"
"TNFSF13",0.294554829925366,0.299925628635882,"Early",FALSE,"None"
"CD36",-0.36267155689707,0.405199536776892,"Early",FALSE,"None"
"HLA-DQA1",-0.487419044914731,0.45163811453364,"Early",FALSE,"None"
"BCL10",-0.496889576904395,0.398289938196252,"Early",FALSE,"None"
"CD82",-0.325626978091583,0.405772644989769,"Early",FALSE,"None"
"CASP1",-0.312135285297719,0.405244697492682,"Early",FALSE,"None"
"CD28",-0.340677555112446,0.449587975118636,"Early",FALSE,"None"
"THBS1",0.428807428298418,0.41318684075201,"Early",FALSE,"None"
"CCND3",0.301334807504823,0.407900746042739,"Early",FALSE,"None"
"ITGB1",0.308822011805489,0.420338186729356,"Early",FALSE,"None"
"MAFF",-0.270972139170771,0.347140583057173,"Early",FALSE,"None"
"IL11RA",0.296233327600108,0.365319099275511,"Early",FALSE,"None"
"CCR6",0.219402671257734,0.299925628635882,"Early",FALSE,"None"
"NFATC1",-0.314053457957113,0.435745001696819,"Early",FALSE,"None"
"TBP",0.231115451699896,0.29437447461045,"Early",FALSE,"None"
"GPR183",-0.31966908995364,0.519224442210283,"Early",FALSE,"None"
"ROCK2",-0.291793240288676,0.444109734431979,"Early",FALSE,"None"
"KLRC1",-0.403537000122866,0.494069970081731,"Early",FALSE,"None"
"KIR3DL2",0.278967647919178,0.299925628635882,"Early",FALSE,"None"
"C14orf166",0.2735894678706,0.476582212878327,"Early",FALSE,"None"
"TMEM173",0.226345827941803,0.299925628635882,"Early",FALSE,"None"
"SDHA",-0.316796403519533,0.519224442210283,"Early",FALSE,"None"
"IRF3",-0.30549943237742,0.522289748501027,"Early",FALSE,"None"
"CXCR4",0.262697134048693,0.450448179365682,"Early",FALSE,"None"
"LAIR1",-0.309306889459664,0.519660065965121,"Early",FALSE,"None"
"ICAM1",-0.320240230637734,0.426088920835958,"Early",FALSE,"None"
"IKBKB",-0.29912975486446,0.506568178869263,"Early",FALSE,"None"
"APP",-0.289716020866743,0.567675535012573,"Early",FALSE,"None"
"PSMB10",-0.303783209677603,0.504954350585942,"Early",FALSE,"None"
"PTGER4",-0.304401088259852,0.567675535012573,"Early",FALSE,"None"
"IKZF3",0.268300029810023,0.571054440274973,"Early",FALSE,"None"
"CSF1R",-0.296193116823212,0.494983476147647,"Early",FALSE,"None"
"STAT2",-0.308747709412913,0.562618879784682,"Early",FALSE,"None"
"FOS",0.359046186811076,0.405199536776892,"Early",FALSE,"None"
"SLAMF7",-0.271976789725276,0.584635072518991,"Early",FALSE,"None"
"CD86",-0.280828394694873,0.461430379060796,"Early",FALSE,"None"
"CD46",-0.25703915949178,0.556561411831975,"Early",FALSE,"None"
"PRKCB",-0.229906202202175,0.522072478900601,"Early",FALSE,"None"
"ICOS",-0.26776550412488,0.519224442210283,"Early",FALSE,"None"
"ICAM2",-0.246571516881808,0.574816912326277,"Early",FALSE,"None"
"FLT3LG",-0.257152419893533,0.61510038954756,"Early",FALSE,"None"
"STAT1",-0.272778421271932,0.519224442210283,"Early",FALSE,"None"
"NFATC3",-0.258961549257128,0.567675535012573,"Early",FALSE,"None"
"NFATC2",0.294807934378269,0.486291403739707,"Early",FALSE,"None"
"CD81",-0.24965643797044,0.61510038954756,"Early",FALSE,"None"
"CD244",-0.292094858501947,0.556561411831975,"Early",FALSE,"None"
"SELPLG",-0.239913760652189,0.556265861949294,"Early",FALSE,"None"
"PSMB9",-0.238853993511983,0.623431956520741,"Early",FALSE,"None"
"CSF2RB",-0.222215154426108,0.560886110307526,"Early",FALSE,"None"
"TNFSF8",-0.239008937261755,0.522367515596674,"Early",FALSE,"None"
"JAK1",-0.216056070301796,0.565761055015335,"Early",FALSE,"None"
"CD164",-0.205194014893348,0.567675535012573,"Early",FALSE,"None"
"C4BPA",0.3838834601986,0.623431956520741,"Early",FALSE,"None"
"CYBB",-0.224748894114461,0.576058561329494,"Early",FALSE,"None"
"OAS1",-0.292112614280065,0.561665585251445,"Early",FALSE,"None"
"SELL",-0.200096386568861,0.365319099275511,"Early",FALSE,"None"
"IL12RB1",0.259567336265954,0.439341527498363,"Early",FALSE,"None"
"STAT6",-0.229376309782038,0.66130061059471,"Early",FALSE,"None"
"CD97",-0.197982954559727,0.702801046969592,"Early",FALSE,"None"
"IFIT1",-0.27101318461345,0.692134710545744,"Early",FALSE,"None"
"GP1BB",-0.237145814809537,0.665622669212886,"Early",FALSE,"None"
